Name,Position,Demand
Guwhathi,"[26.1445, 91.7362]",26
Srinagar,"[34.0836, 74.7973]",32.1
Chandigarh,"[30.7333, 76.7794]",28.6
Delhi,"[28.7041, 77.1025]",244.3
Rudrapur,"[28.9835, 79.4014]",38
NaviMumbai,"[19.033, 73.0297]",287.7
Vijaywada,"[16.5062, 80.648]",27.7
Varanasi,"[25.3176, 82.9739]",32.6
Kharagpur,"[22.346, 87.2315]",21.7
Indore,"[22.7196, 75.8577]",54.3
Belgaum,"[15.8497, 74.4977]",43.4
Bangalore,"[12.9716, 77.5946]",211.7
Rajkot,"[22.3039, 70.8022]",38
Ahmedabad,"[23.0225, 72.5714]",149.3
Ludhiana,"[30.901, 75.8573]",43.4
Rourkela,"[22.2604, 84.8536]",40.2
Hyderabad,"[17.385, 78.4867]",184.8
Nagpur,"[21.1458, 79.0882]",65.1
Coimbatore,"[11.0168, 76.9558]",43.4
Kolkata,"[22.5726, 88.3639]",121.9
